id,title,assigneeId,dueDate,status,comments,metadata
"1","Train support staff","1001","2025-08-09","","[{"text": "Initial spec done"}]","{"priority":"medium","tags":["frontend"]}"
"2","Migrate database schema","1002","2025-08-27","done","[{"text": "Debugged last night"}]","{"priority":"high"}"
"3","Write unit tests","1003","2025-08-03","todo","[]","{}"
"4","Benchmark database queries","1003","2025-09-14","","[]","{"priority":"low"}"
"5","Resolve customer complaints","1002","2025-08-10","todo","[{"text": "Fixed edge case"}]","{}"
"6","Audit error logs","1003","2025-08-15","","[{"text": "Upgrade plan drafted"}]","{"notes":"Requires SSH"}"
"7","Update dependencies","1002","2025-08-01","todo","[{"text": "Reviewed by QA"}]","{}"
"8","Fix bug in authentication flow","1001","2025-08-01","","[{"text": "Waiting on credentials"}]","{}"
"9","Refactor legacy code","1003","2025-08-22","in-progress","[{"text": "Debugged last night"}]","{"notes":"Requires SSH"}"
"10","Fix UI alignment issues","1002","2025-08-20","","[{"text": "Reviewed by QA"}]","{}"
"11","Design mobile prototype","1002","2025-08-25","todo","[{"text": "Initial spec done"}]","{"notes":"Requires SSH"}"
"12","Update dependencies","1001","2025-08-31","","[{"text": "Initial spec done"}]","{"priority":"medium"}"
"13","Automate backup scripts","1002","2025-09-12","","[]","{"priority":"medium","tags":["frontend"]}"
"14","Build dashboard reports","1002","2025-08-08","todo","[{"text": "Reviewed by QA"}]","{}"
"15","Integrate payment gateway","1001","2025-08-13","done","[]","{}"
"16","Update privacy policy","1003","2025-09-05","","[]","{"notes":"Requires SSH"}"
"task-17","Deploy mobile app update","1003","2025-08-27","","[{"text": "Fixed edge case"}]","{"priority":"medium"}"
"18","Automate backup scripts","1003","2025-08-27","done","[]","{}"
"19","Monitor API latency","1001","2025-09-10","todo","[{"text": "Fixed edge case"}]","{"priority":"high"}"
"20","Analyze system performance","1002","2025-09-06","in-progress","[]","{}"
"21","Design new logo","1002","2025-09-21","done","[{"text": "Debugged last night"}]","{"priority":"low"}"
"22","Implement OAuth","1003","2025-09-08","","[{"text": "Initial spec done"}]","{"priority":"high"}"
"23","Archive closed tasks","1002","2025-09-16","","[{"text": "Upgrade plan drafted"}]","{"priority":"medium"}"
"24","Handle payment disputes","1003","2025-09-20","in-progress","[{"text": "Upgrade plan drafted"}]","{"priority":"high"}"
"25","Update privacy policy","1001","2025-08-19","","[{"text": "Debugged last night"}]","{"priority":"high"}"
"26","Monitor API latency","1001","2025-09-16","todo","[{"text": "Upgrade plan drafted"}]","{"priority":"high"}"
"27","Fix UI alignment issues","1003","2025-08-11","","[]","{}"
"28","Monitor API latency","1003","2025-08-12","done","[]","{"priority":"high"}"
"29","Upgrade SSL certificate","1001","2025-08-29","","[]","{"priority":"high"}"
"30","Conduct security audit","1002","2025-09-16","done","[{"text": "Initial spec done"}]","{"priority":"high"}"
"31","Build dashboard reports","devA","2025-09-20","todo","[{"text": "Upgrade plan drafted"}]","{"priority":"high"}"
"32","Create feedback analytics","1003","2025-09-11","done","[{"text": "Fixed edge case"}]","{"priority":"medium"}"
"33","Refactor legacy code","1001","2025-08-21","","[{"text": "Reviewed by QA"}]","{"notes":"Requires SSH"}"
"task-34","Design login page","1002","2025-08-15","","[{"text": "Waiting on credentials"}]","{"priority":"high"}"
"35","Write API documentation","1003","2025-08-10","done","[{"text": "Reviewed by QA"}]","{"priority":"low"}"
"36","Build dashboard reports","1003","2025-08-19","done","[{"text": "Upgrade plan drafted"}]","{}"
"37","Optimize images","1003","2025-08-23","done","[{"text": "Reviewed by QA"}]","{"priority":"high"}"
"38","Design admin panel","1001","2025-09-04","done","[{"text": "Waiting on credentials"}]","{"priority":"medium","tags":["frontend"]}"
"39","Benchmark database queries","1002","2025-09-20","in-progress","[{"text": "Waiting on credentials"}]","{"priority":"medium"}"
"40","Patch XSS vulnerabilities","1001","2025-08-26","done","[{"text": "Waiting on credentials"}]","{"priority":"high"}"
"41","Create feedback analytics","1003","2025-08-14","done","[{"text": "Fixed edge case"}]","{"notes":"Requires SSH"}"
"42","Debug session timeouts","1002","2025-09-17","","[]","{"priority":"high"}"
"43","Design new logo","1003","2025-08-18","in-progress","[]","{"priority":"high"}"
"44","Integrate payment gateway","1003","2025-08-25","","[{"text": "Reviewed by QA"}]","{"priority":"medium","tags":["frontend"]}"
"45","Audit error logs","1002","2025-08-13","todo","[{"text": "Waiting on credentials"}]","{}"
"46","Train support staff","1002","2025-08-24","","[{"text": "Waiting on credentials"}]","{"priority":"medium","tags":["frontend"]}"
"47","Update privacy policy","1003","2025-09-14","todo","[{"text": "Waiting on credentials"}]","{"priority":"low"}"
"48","Update dependencies","1003","2025-08-11","","[{"text": "Fixed edge case"}]","{"priority":"high"}"
"49","Deploy mobile app update","1003","2025-08-24","done","[]","{"priority":"high"}"
"50","Draft GDPR compliance report","1003","2025-09-18","done","[{"text": "Waiting on credentials"}]","{"priority":"medium","tags":["frontend"]}"
"task-51","Analyze system performance","1002","2025-08-26","done","[{"text": "Fixed edge case"}]","{"notes":"Requires SSH"}"
"52","Archive closed tasks","1001","2025-08-18","","[]","{}"
"53","Debug session timeouts","1001","2025-09-18","in-progress","[{"text": "Waiting on credentials"}]","{}"
"54","Write API documentation","1002","2025-09-26","","[{"text": "Debugged last night"}]","{}"
"55","Refactor form validation logic","1003","2025-08-05","","[]","{}"
"56","Review user feedback","1001","2025-08-03","done","[{"text": "Reviewed by QA"}]","{"notes":"Requires SSH"}"
"57","Plan Q4 roadmap","1003","2025-09-15","done","[{"text": "Upgrade plan drafted"}]","{}"
"58","Archive closed tasks","1003","2025-08-23","todo","[{"text": "Waiting on credentials"}]","{"priority":"medium","tags":["frontend"]}"
"59","Deploy mobile app update","1001","2025-08-20","todo","[{"text": "Waiting on credentials"}]","{"priority":"medium","tags":["frontend"]}"
"60","Enhance search filters","1001","2025-08-13","todo","[]","{"priority":"medium"}"
"61","Archive closed tasks","1003","2025-08-02","todo","[{"text": "Initial spec done"}]","{"notes":"Requires SSH"}"
"62","Write API documentation","devA","2025-08-22","in-progress","[]","{"priority":"high"}"
"63","Resolve customer complaints","1001","2025-09-26","todo","[{"text": "Reviewed by QA"}]","{}"
"64","Refactor form validation logic","1002","2025-08-14","","[{"text": "Upgrade plan drafted"}]","{"priority":"medium"}"
"65","Create multi-language support","1002","2025-09-14","in-progress","[{"text": "Reviewed by QA"}]","{"priority":"medium","tags":["frontend"]}"
"66","Plan Q4 roadmap","1001","2025-08-13","done","[{"text": "Reviewed by QA"}]","{}"
"67","Deploy mobile app update","1002","2025-08-25","in-progress","[{"text": "Reviewed by QA"}]","{"priority":"medium"}"
"task-68","Update privacy policy","1002","2025-08-24","todo","[{"text": "Waiting on credentials"}]","{"priority":"high"}"
"69","Update dependencies","1002","2025-08-23","in-progress","[{"text": "Waiting on credentials"}]","{"priority":"medium"}"
"70","Review user feedback","1002","2025-08-08","todo","[{"text": "Waiting on credentials"}]","{"priority":"high"}"
"71","Fix UI alignment issues","1003","2025-09-05","","[{"text": "Initial spec done"}]","{"priority":"medium","tags":["frontend"]}"
"72","Migrate database schema","1003","2025-09-24","todo","[{"text": "Debugged last night"}]","{"priority":"high"}"
"73","Draft GDPR compliance report","1001","2025-08-28","done","[{"text": "Waiting on credentials"}]","{}"
"74","Draft GDPR compliance report","1003","2025-08-25","todo","[]","{}"
"75","Update support FAQ","1002","2025-09-18","done","[{"text": "Initial spec done"}]","{"priority":"high"}"
"76","Draft user onboarding emails","1001","2025-09-30","","[{"text": "Waiting on credentials"}]","{"priority":"high"}"
"77","Implement OAuth","1002","2025-09-19","in-progress","[{"text": "Fixed edge case"}]","{"priority":"low"}"
"78","Test accessibility features","1002","2025-08-27","todo","[{"text": "Fixed edge case"}]","{"priority":"high"}"
"79","Update privacy policy","1003","2025-09-02","","[{"text": "Initial spec done"}]","{"notes":"Requires SSH"}"
"80","Deploy mobile app update","1003","2025-09-27","todo","[{"text": "Initial spec done"}]","{"priority":"low"}"
"81","Integrate payment gateway","1002","2025-08-12","todo","[{"text": "Debugged last night"}]","{"notes":"Requires SSH"}"
"82","Implement OAuth","1002","2025-08-25","done","[{"text": "Reviewed by QA"}]","{"priority":"medium"}"
"83","Monitor API latency","1003","2025-09-08","","[{"text": "Upgrade plan drafted"}]","{}"
"84","Plan Q4 roadmap","1003","2025-09-07","in-progress","[{"text": "Waiting on credentials"}]","{}"
"task-85","Resolve customer complaints","1003","2025-08-01","","[{"text": "Initial spec done"}]","{"priority":"high"}"
"86","Benchmark database queries","1003","2025-08-07","in-progress","[{"text": "Upgrade plan drafted"}]","{"priority":"low"}"
"87","Upgrade SSL certificate","1002","2025-09-18","todo","[{"text": "Upgrade plan drafted"}]","{}"
"88","Analyze system performance","1001","2025-09-20","todo","[{"text": "Upgrade plan drafted"}]","{"priority":"low"}"
"89","Implement push notifications","1002","2025-09-17","","[]","{"priority":"medium","tags":["frontend"]}"
"90","Write unit tests","1001","2025-09-17","done","[{"text": "Reviewed by QA"}]","{"priority":"low"}"
"91","Test accessibility features","1003","2025-08-11","in-progress","[]","{}"
"92","Write blog announcement","1003","2025-09-14","","[{"text": "Reviewed by QA"}]","{"priority":"low"}"
"93","Create feedback analytics","devA","2025-09-19","in-progress","[{"text": "Waiting on credentials"}]","{"priority":"high"}"
"94","Create feedback analytics","1003","2025-08-21","in-progress","[]","{"notes":"Requires SSH"}"
"95","Refactor Redux logic","1003","2025-08-03","in-progress","[]","{"priority":"medium","tags":["frontend"]}"
"96","Design login page","1002","2025-09-24","in-progress","[{"text": "Upgrade plan drafted"}]","{"notes":"Requires SSH"}"
"97","Setup CI/CD pipeline","1003","2025-08-21","done","[{"text": "Upgrade plan drafted"}]","{"priority":"high"}"
"98","Update support FAQ","1001","2025-08-11","in-progress","[{"text": "Waiting on credentials"}]","{"notes":"Requires SSH"}"
"99","Update support FAQ","1003","2025-08-20","done","[]","{"priority":"low"}"
"100","Fix UI alignment issues","1002","2025-08-08","done","[{"text": "Reviewed by QA"}]","{"notes":"Requires SSH"}"
"101","Enhance search filters","1003","2025-09-05","done","[{"text": "Upgrade plan drafted"}]","{"priority":"medium"}"
"task-102","Refactor Redux logic","1003","2025-09-25","in-progress","[{"text": "Upgrade plan drafted"}]","{}"
"103","Write blog announcement","1001","2025-09-10","in-progress","[]","{"notes":"Requires SSH"}"
"104","Build webhook endpoints","1001","2025-08-27","in-progress","[]","{"priority":"low"}"
"105","Write API documentation","1001","2025-09-09","todo","[]","{"notes":"Requires SSH"}"
"106","Test accessibility features","1001","2025-08-11","done","[{"text": "Debugged last night"}]","{"priority":"high"}"
"107","Resolve customer complaints","1003","2025-08-29","done","[{"text": "Upgrade plan drafted"}]","{"priority":"high"}"
"108","Integrate payment gateway","1001","2025-08-14","","[{"text": "Initial spec done"}]","{"priority":"high"}"
"109","Conduct security audit","1001","2025-08-12","todo","[{"text": "Waiting on credentials"}]","{"priority":"medium"}"
"110","Update dependencies","1003","2025-09-09","todo","[{"text": "Initial spec done"}]","{"priority":"medium"}"
"111","Upgrade SSL certificate","1003","2025-08-23","done","[{"text": "Fixed edge case"}]","{"priority":"high"}"
"112","Refactor Redux logic","1002","2025-09-06","todo","[{"text": "Initial spec done"}]","{}"
